market_id,selection_id,race_time,reference_price,reference_time,price_at_flag,time_at_flag,percentage_drop,actual_sp,outcome,result
1.260715397,30105417,2026-08-04 06:47:00+00:00,3.25,63.132,2.9,3.1,10.769230769230772,,WINNER,1.5517241379310391
1.260855896,57563328,2026-08-07 04:45:00+00:00,7.2,60.768,6.2,0.709,13.88888888888889,,LOSER,3.41935483870968
1.260831098,97211434,2026-08-08 06:19:00+00:00,5.0,87.56,4.5,27.543,10.0,,WINNER,1.1111111111111145
1.260831101,69675019,2026-08-08 06:57:00+00:00,11.0,87.596,9.8,27.546,10.909090909090905,,LOSER,1.632653061224488
1.260857113,42335997,2026-08-09 05:45:00+00:00,5.0,61.88,4.4,1.903,11.999999999999991,,LOSER,2.2727272727272734
1.260571401,78977338,2026-08-01 05:12:00+00:00,4.9,77.346,4.3,17.296,12.244897959183684,,LOSER,2.418604651162802
1.260600153,72134303,2026-08-01 10:06:00+00:00,5.5,79.312,4.9,19.023,10.909090909090905,,LOSER,1.632653061224488
1.260910963,101449130,2026-08-10 03:15:00+00:00,7.2,82.142,6.4,22.144,11.111111111111107,,LOSER,1.75
1.260925803,92704557,2026-08-10 07:02:00+00:00,14.5,72.303,9.8,12.33,32.41379310344827,,LOSER,18.06122448979592
1.260925805,101449181,2026-08-10 07:44:00+00:00,4.4,72.343,3.95,12.323,10.22727272727273,,LOSER,1.2405063291139342
1.260925809,60815353,2026-08-10 08:40:00+00:00,12.5,72.265,9.6,12.264,23.200000000000003,,LOSER,9.895833333333345
1.260925813,69175026,2026-08-10 09:30:00+00:00,12.5,72.266,9.2,12.324,26.40000000000001,,LOSER,12.500000000000009
1.260925813,53346732,2026-08-10 09:30:00+00:00,8.8,72.266,7.4,12.324,15.909090909090912,,LOSER,4.702702702702709
1.260992835,101579006,2026-08-13 03:17:00+00:00,10.0,85.811,8.6,25.795,14.000000000000004,,LOSER,3.4883720930232585
1.261063202,81602470,2026-08-14 12:04:00+00:00,5.5,81.265,4.2,21.331,23.636363636363637,,LOSER,10.238095238095234
1.261064316,41602848,2026-08-14 07:25:00+00:00,8.8,67.408,7.6,7.363,13.636363636363647,,WINNER,3.2631578947368567
1.261064322,2250579,2026-08-14 08:55:00+00:00,13.0,67.351,10.0,7.376,23.07692307692308,,LOSER,9.800000000000004
1.261173173,5325712,2026-08-17 08:01:00+00:00,8.4,84.113,7.4,24.157,11.904761904761903,,LOSER,2.2162162162162105
1.260641766,101219371,2026-08-03 05:30:00+00:00,6.0,70.959,5.3,10.92,11.66666666666667,,LOSER,2.075471698113212
1.260643683,101218040,2026-08-03 02:03:00+00:00,3.35,87.378,2.78,27.318,17.01492537313434,,LOSER,5.431654676259001
1.260643685,100885931,2026-08-03 02:28:00+00:00,5.6,87.615,4.5,27.265,19.64285714285713,,LOSER,7.244444444444447
1.260643767,96414178,2026-08-04 05:05:00+00:00,10.0,79.399,8.6,19.463,14.000000000000004,,LOSER,3.4883720930232585
1.260717139,101328187,2026-08-05 03:50:00+00:00,5.4,78.792,4.7,18.834,12.962962962962964,,LOSER,2.851063829787236
1.260801764,42393598,2026-08-06 08:05:00+00:00,2.62,72.243,2.34,12.219,10.687022900763369,,WINNER,1.504273504273506
